gene_id,gene_name
ENSG00000166819.12,PLIN1
ENSG00000166851.15,PLK1
ENSG00000166856.3,GPR182
ENSG00000166947.15,EPB42
ENSG00000166960.16,CCDC178
ENSG00000167434.10,CA4
ENSG00000167588.13,GPD1
ENSG00000167641.11,PPP1R14A
ENSG00000167676.4,PLIN4
ENSG00000167779.9,IGFBP6
ENSG00000167874.7,TMEM88
ENSG00000167900.12,TK1
ENSG00000167992.13,VWCE
ENSG00000168078.10,PBK
ENSG00000168079.17,SCARA5
ENSG00000168309.18,FAM107A
ENSG00000168356.13,SCN11A
ENSG00000168477.19,TNXB
ENSG00000168490.14,PHYHIP
ENSG00000168497.5,CAVIN2
ENSG00000168824.14,NSG1
ENSG00000168874.13,ATOH8
ENSG00000168917.9,SLC35G2
ENSG00000169241.19,SLC50A1
ENSG00000169252.6,ADRB2
ENSG00000169258.7,GPRIN1
ENSG00000169282.18,KCNAB1
ENSG00000169291.10,SHE
ENSG00000169313.10,P2RY12
ENSG00000169418.10,NPR1
ENSG00000169432.18,SCN9A
ENSG00000169607.13,CKAP2L
ENSG00000169679.15,BUB1
ENSG00000169744.13,LDB2
ENSG00000170145.5,SIK2
ENSG00000170153.11,RNF150
ENSG00000170312.16,CDK1
ENSG00000170323.9,FABP4
ENSG00000170509.12,HSD17B13
ENSG00000170683.6,OR10A3
ENSG00000170919.16,TPT1-AS1
ENSG00000170989.10,S1PR1
ENSG00000171056.8,SOX7
ENSG00000171115.4,GIMAP8
ENSG00000171227.7,TMEM37
ENSG00000171357.6,LURAP1
ENSG00000171596.7,NMUR1
ENSG00000171773.3,NXNL1
ENSG00000171819.5,ANGPTL7
ENSG00000171848.16,RRM2
ENSG00000171914.16,TLN2
ENSG00000172318.5,B3GALT1
ENSG00000172403.11,SYNPO2
ENSG00000172901.20,LVRN
ENSG00000172935.9,MRGPRF
ENSG00000172987.13,HPSE2
ENSG00000173208.4,ABCD2
ENSG00000173253.15,DMRT2
ENSG00000173269.14,MMRN2
ENSG00000173421.17,IHO1
ENSG00000173641.18,HSPB7
ENSG00000174059.17,CD34
ENSG00000174371.17,EXO1
ENSG00000174611.12,KY
ENSG00000174697.5,LEP
ENSG00000174804.4,FZD4
ENSG00000174899.12,SLC66A1L
ENSG00000175063.17,UBE2C
ENSG00000175445.17,LPL
ENSG00000175643.10,RMI2
ENSG00000176115.9,AQP7P4
ENSG00000176194.18,CIDEA
ENSG00000176438.12,SYNE3
ENSG00000177098.9,SCN4B
ENSG00000177133.11,PRDM16-DT
ENSG00000177301.16,KCNA2
ENSG00000177363.5,LRRN4CL
ENSG00000177469.13,CAVIN1
ENSG00000177938.5,CAPZA3
ENSG00000178385.15,PLEKHM3
ENSG00000178531.6,CTXN1
ENSG00000178662.16,CSRNP3
ENSG00000178734.5,LMO7DN
ENSG00000178828.7,RNF186
ENSG00000178947.9,SMIM10L2A
ENSG00000178999.13,AURKB
ENSG00000179094.16,PER1
ENSG00000179314.14,WSCD1
ENSG00000179796.12,LRRC3B
ENSG00000179921.15,GPBAR1
ENSG00000180139.11,ACTA2-AS1
ENSG00000180264.11,ADGRD2
ENSG00000180354.16,MTURN
ENSG00000180440.4,SERTM1
ENSG00000180509.12,KCNE1
ENSG00000180660.8,MAB21L1
ENSG00000180769.10,WDFY3-AS2
ENSG00000180914.10,OXTR
ENSG00000181092.10,ADIPOQ
ENSG00000181195.11,PENK
ENSG00000181234.9,TMEM132C
ENSG00000181778.5,TMEM252
ENSG00000181856.15,SLC2A4
ENSG00000181997.8,AQP7P2
ENSG00000182021.10,AL591379.1
ENSG00000182118.8,FAM89A
ENSG00000182253.15,SYNM
ENSG00000182463.16,TSHZ2
ENSG00000182492.16,BGN
ENSG00000182601.7,HS3ST4
ENSG00000182732.18,RGS6
ENSG00000182782.8,HCAR2
ENSG00000182916.8,TCEAL7
ENSG00000182950.3,ODF3L1
ENSG00000183010.17,PYCR1
ENSG00000183378.12,OVCH2
ENSG00000183549.10,ACSM5
ENSG00000183695.3,MRGPRX2
ENSG00000183722.9,LHFPL6
ENSG00000183807.8,FAM162B
ENSG00000183856.11,IQGAP3
ENSG00000183873.18,SCN5A
ENSG00000184005.11,ST6GALNAC3
ENSG00000184113.9,CLDN5
ENSG00000184347.15,SLIT3
ENSG00000184384.14,MAML2
ENSG00000184500.16,PROS1
ENSG00000184601.11,C14orf180
ENSG00000184811.4,TRARG1
ENSG00000184906.11,AMYH02020865.1
ENSG00000185010.15,F8
ENSG00000185149.6,NPY2R
ENSG00000185271.9,KLHL33
ENSG00000185345.23,PRKN
ENSG00000185432.12,METTL7A
ENSG00000186105.8,LRRC70
ENSG00000186185.14,KIF18B
ENSG00000186205.13,MTARC1
ENSG00000186439.14,TRDN
ENSG00000186453.13,FAM228A
ENSG00000186458.5,DEFB132
ENSG00000186466.5,AQP7P1
ENSG00000186479.5,RGS7BP
ENSG00000186642.16,PDE2A
ENSG00000186871.7,ERCC6L
ENSG00000186971.3,KRTAP13-4
ENSG00000187134.14,AKR1C1
ENSG00000187151.7,ANGPTL5
ENSG00000187260.16,WDR86
ENSG00000187288.12,CIDEC
ENSG00000187699.10,C2orf88
ENSG00000187758.8,ADH1A
ENSG00000187800.13,PEAR1
ENSG00000187824.9,TMEM220
ENSG00000187942.12,LDLRAD2
ENSG00000188517.16,COL25A1
ENSG00000188536.13,HBA2
ENSG00000188626.6,GOLGA8M
ENSG00000188828.12,GLRA4
ENSG00000188958.9,UTS2B
ENSG00000189056.14,RELN
ENSG00000189129.14,PLAC9
ENSG00000189134.4,NKAPL
ENSG00000189159.16,JPT1
ENSG00000189221.10,MAOA
ENSG00000189367.15,KIAA0408
ENSG00000196071.5,OR2L13
ENSG00000196381.11,ZNF781
ENSG00000196549.12,MME
ENSG00000196616.14,ADH1B
ENSG00000196666.6,FAM180B
ENSG00000197083.11,ZNF300P1
ENSG00000197245.6,FAM110D
ENSG00000197254.4,AP000445.1
ENSG00000197561.7,ELANE
ENSG00000197576.14,HOXA4
ENSG00000197769.6,MAP1LC3C
ENSG00000197872.11,CYRIA
ENSG00000197891.12,SLC22A12
ENSG00000198099.9,ADH4
ENSG00000198478.8,SH3BGRL2
ENSG00000198624.13,CCDC69
ENSG00000198774.5,RASSF9
ENSG00000198838.14,RYR3
ENSG00000198844.12,ARHGEF15
ENSG00000198848.13,CES1
ENSG00000198865.10,CCDC152
ENSG00000198885.10,ITPRIPL1
ENSG00000198932.13,GPRASP1
ENSG00000198937.9,CCDC167
ENSG00000198947.16,DMD
ENSG00000203499.12,IQANK1
ENSG00000203727.4,SAMD5
ENSG00000204065.3,TCEAL5
ENSG00000204136.11,GGTA1
ENSG00000204161.14,TMEM273
ENSG00000204403.9,CASP12
ENSG00000204767.4,INSYN2B
ENSG00000204978.3,ERICH4
ENSG00000205038.12,PKHD1L1
ENSG00000205221.12,VIT
ENSG00000206120.11,EGFEM1P
ENSG00000206172.8,HBA1
ENSG00000206384.10,COL6A6
ENSG00000207087.1,RNU6-242P
ENSG00000211445.12,GPX3
ENSG00000213186.8,TRIM59
ENSG00000213373.7,LINC00671
ENSG00000213561.4,AC103591.2
ENSG00000213777.5,AC011487.1
ENSG00000213791.4,AC104212.2
ENSG00000213904.9,LIPE-AS1
ENSG00000214140.11,PRCD
ENSG00000215386.13,MIR99AHG
ENSG00000215483.11,LINC00598
ENSG00000221818.9,EBF2
ENSG00000221866.9,PLXNA4
ENSG00000223458.2,LMO7DN-IT1
ENSG00000223656.1,HMGB3P10
ENSG00000223756.7,TSSC2
ENSG00000224318.6,CHL1-AS2
ENSG00000224525.2,AL591686.1
ENSG00000224609.8,HSD52
ENSG00000224613.7,AC095032.1
ENSG00000224786.2,CETN4P
ENSG00000224940.9,PRRT4
ENSG00000224958.6,PGM5-AS1
ENSG00000225039.1,LINC01058
ENSG00000225056.1,AL121894.1
ENSG00000225398.3,PGM5P4
ENSG00000225670.4,CADM3-AS1
ENSG00000225731.1,PDE9A-AS1
ENSG00000225889.9,AC012368.1
ENSG00000225914.3,TSBP1-AS1
ENSG00000225938.1,AL109741.1
ENSG00000225950.8,NTF4
ENSG00000226005.5,LINC02660
ENSG00000226009.2,KCNIP2-AS1
ENSG00000226031.5,FGF13-AS1
ENSG00000226237.2,GAS1RR
ENSG00000226239.2,AL031658.1
ENSG00000226252.1,AL135960.1
ENSG00000226329.2,AC005682.1
ENSG00000226482.1,ADIPOQ-AS1
ENSG00000226542.1,AC114814.1
ENSG00000226622.6,AC092155.1
ENSG00000226833.6,AC092164.1
ENSG00000226871.1,AC135178.2
ENSG00000227260.2,LINC01985
ENSG00000227467.3,LINC01537
ENSG00000227591.5,HSD11B1-AS1
ENSG00000228035.1,NGF-AS1
ENSG00000228139.1,LINC01402
ENSG00000228162.1,AC097713.1
ENSG00000228522.2,AL845321.1
ENSG00000228528.2,AC068057.1
ENSG00000228692.2,AL445307.1
ENSG00000228868.3,MYLKP1
ENSG00000228971.3,LINC02607
ENSG00000228983.9,SLC47A1P1
ENSG00000229108.2,LINC02587
ENSG00000229116.3,AL137026.1
ENSG00000229221.1,HNRNPA1P66
ENSG00000229246.2,LINC00377
ENSG00000229312.2,AL353693.1
ENSG00000229436.1,AC073850.1
ENSG00000229498.1,AC105053.1
ENSG00000229558.2,SACS-AS1
ENSG00000229847.9,EMX2OS
ENSG00000230587.2,LINC02580
ENSG00000230787.1,PSAT1P3
ENSG00000230838.1,LINC01614
ENSG00000231007.5,CDC20P1
ENSG00000231165.3,TRBV26OR9-2
ENSG00000231170.7,AC002451.1
ENSG00000231246.2,LINC02884
ENSG00000231367.6,LINC02613
ENSG00000231638.1,LUARIS
ENSG00000231768.2,LINC01354
ENSG00000231943.9,PGM5P4-AS1
ENSG00000232079.7,LINC01697
ENSG00000232284.7,GNG12-AS1
ENSG00000232444.1,AC010745.4
ENSG00000232528.3,AL109809.1
ENSG00000232606.2,LINC01412
ENSG00000232821.1,AC003986.2
ENSG00000233766.7,CAVIN2-AS1
ENSG00000234235.1,BOK-AS1
ENSG00000234456.8,MAGI2-AS3
ENSG00000234471.1,AC147651.1
ENSG00000234884.2,AL022329.1
ENSG00000235172.8,LINC01366
ENSG00000235427.1,AC006159.1
ENSG00000235434.1,AL391883.1
ENSG00000235505.7,CASP4LP
ENSG00000235875.3,ARHGEF7-AS2
ENSG00000235904.3,RBMS3-AS3
ENSG00000236036.2,LINC00445
ENSG00000236166.1,AL021408.1
ENSG00000236319.2,AC105021.1
ENSG00000236333.4,TRHDE-AS1
ENSG00000236403.2,AL353611.1
ENSG00000236444.5,UBE2L5
ENSG00000236751.2,LINC01186
ENSG00000236849.6,LINC01474
ENSG00000236915.2,CLCA4-AS1
ENSG00000236961.1,AL136131.2
ENSG00000237125.11,HAND2-AS1
ENSG00000237238.3,BMS1P10
ENSG00000237560.7,LINC01497
ENSG00000237649.8,KIFC1
ENSG00000237813.4,AC002066.1
ENSG00000238018.2,AC093110.1
ENSG00000238099.3,LINC01625
ENSG00000238120.1,LINC01589
ENSG00000238198.2,LRIG2-DT
ENSG00000240423.3,LINC00636
ENSG00000240583.13,AQP1
ENSG00000240654.6,C1QTNF9
ENSG00000240666.2,MME-AS1
ENSG00000241158.7,ADAMTS9-AS1
ENSG00000241644.2,INMT
ENSG00000241684.6,ADAMTS9-AS2
ENSG00000242268.3,LINC02082
ENSG00000243836.5,WDR86-AS1
ENSG00000243953.1,AC073359.1
ENSG00000244734.4,HBB
ENSG00000245025.3,AC107959.1
ENSG00000245293.3,CYP2U1-AS1
ENSG00000245812.3,LINC02202
ENSG00000246022.3,ALDH1L1-AS2
ENSG00000246090.7,AP002026.1
ENSG00000246430.7,LINC00968
ENSG00000248144.6,ADH1C
ENSG00000248309.7,MEF2C-AS1
ENSG00000248334.6,WHAMMP2
ENSG00000248441.7,LINC01197
ENSG00000248668.3,OXCT1-AS1
ENSG00000248869.7,LINC02511
ENSG00000248896.3,AC105001.1
ENSG00000248994.2,AC124852.1
ENSG00000249249.2,AC010226.1
ENSG00000249669.10,CARMN
ENSG00000249679.2,AC106897.1
ENSG00000249752.1,AC108156.1
ENSG00000250282.1,AC002401.2
ENSG00000250305.9,TRMT9B
ENSG00000250327.1,RPSAP70
ENSG00000250334.6,LINC00989
ENSG00000250343.1,STK32A-AS1
ENSG00000250538.6,AC104407.1
ENSG00000250602.6,AC093535.1
ENSG00000250685.7,AC009123.1
ENSG00000250692.1,AC008667.2
