gene_id,gene_name
ENSG00000124571.18,XPO5
ENSG00000124593.16,AL365205.1
ENSG00000124615.20,MOCS1
ENSG00000124635.9,H2BC11
ENSG00000124839.13,RAB17
ENSG00000125089.17,SH3TC1
ENSG00000125454.12,SLC25A19
ENSG00000125503.13,PPP1R12C
ENSG00000125652.8,ALKBH7
ENSG00000125731.13,SH2D3A
ENSG00000125740.14,FOSB
ENSG00000125869.10,LAMP5
ENSG00000125968.9,ID1
ENSG00000125977.7,EIF2S2
ENSG00000126067.12,PSMB2
ENSG00000126214.21,KLC1
ENSG00000126218.12,F10
ENSG00000126562.17,WNK4
ENSG00000126785.13,RHOJ
ENSG00000126787.13,DLGAP5
ENSG00000126895.15,AVPR2
ENSG00000127074.15,RGS13
ENSG00000127329.16,PTPRB
ENSG00000127415.13,IDUA
ENSG00000127419.17,TMEM175
ENSG00000127423.11,AUNIP
ENSG00000127528.6,KLF2
ENSG00000127589.4,TUBBP1
ENSG00000127743.6,IL17B
ENSG00000127920.6,GNG11
ENSG00000128016.7,ZFP36
ENSG00000128050.9,PAICS
ENSG00000128159.12,TUBGCP6
ENSG00000128652.11,HOXD3
ENSG00000128709.13,HOXD9
ENSG00000128917.8,DLL4
ENSG00000128918.15,ALDH1A2
ENSG00000128944.13,KNSTRN
ENSG00000129173.13,E2F8
ENSG00000129195.16,PIMREG
ENSG00000129244.9,ATP1B2
ENSG00000129292.21,PHF20L1
ENSG00000129467.14,ADCY4
ENSG00000129596.5,CDO1
ENSG00000129757.14,CDKN1C
ENSG00000129810.15,SGO1
ENSG00000129946.10,SHC2
ENSG00000129968.17,ABHD17A
ENSG00000130045.16,NXNL2
ENSG00000130052.13,STARD8
ENSG00000130173.13,ANGPTL8
ENSG00000130222.11,GADD45G
ENSG00000130300.9,PLVAP
ENSG00000130304.17,SLC27A1
ENSG00000130307.12,USHBP1
ENSG00000130511.16,SSBP4
ENSG00000130517.14,PGPEP1
ENSG00000130518.17,IQCN
ENSG00000130522.6,JUND
ENSG00000130529.16,TRPM4
ENSG00000130595.19,TNNT3
ENSG00000130653.16,PNPLA7
ENSG00000130751.10,NPAS1
ENSG00000130821.17,SLC6A8
ENSG00000130826.18,DKC1
ENSG00000130997.16,POLN
ENSG00000131015.5,ULBP2
ENSG00000131037.15,EPS8L1
ENSG00000131044.17,TTLL9
ENSG00000131055.5,COX4I2
ENSG00000131095.13,GFAP
ENSG00000131097.7,HIGD1B
ENSG00000131153.9,GINS2
ENSG00000131409.13,LRRC4B
ENSG00000131435.13,PDLIM4
ENSG00000131471.7,AOC3
ENSG00000131477.11,RAMP2
ENSG00000131634.14,TMEM204
ENSG00000131730.16,CKMT2
ENSG00000131747.15,TOP2A
ENSG00000131797.12,CLUHP3
ENSG00000131831.18,RAI2
ENSG00000132170.23,PPARG
ENSG00000132326.12,PER2
ENSG00000132341.12,RAN
ENSG00000132603.15,NIP7
ENSG00000132622.11,HSPA12B
ENSG00000132635.17,PCED1A
ENSG00000132646.11,PCNA
ENSG00000132840.10,BHMT2
ENSG00000133246.12,PRAM1
ENSG00000133250.14,ZNF414
ENSG00000133392.18,MYH11
ENSG00000133624.13,ZNF767P
ENSG00000134020.8,PEBP4
ENSG00000134057.15,CCNB1
ENSG00000134072.11,CAMK1
ENSG00000134121.10,CHL1
ENSG00000134240.12,HMGCS2
ENSG00000134253.10,TRIM45
ENSG00000134333.14,LDHA
ENSG00000134684.11,YARS1
ENSG00000134690.11,CDCA8
ENSG00000134697.13,GNL2
ENSG00000134717.18,BTF3L4
ENSG00000134824.14,FADS2
ENSG00000134830.6,C5AR2
ENSG00000134884.15,ARGLU1
ENSG00000135119.15,RNFT2
ENSG00000135205.15,CCDC146
ENSG00000135363.12,LMO2
ENSG00000135424.18,ITGA7
ENSG00000135437.10,RDH5
ENSG00000135451.13,TROAP
ENSG00000135476.12,ESPL1
ENSG00000135722.9,FBXL8
ENSG00000135914.6,HTR2B
ENSG00000135917.16,SLC19A3
ENSG00000136003.16,ISCU
ENSG00000136011.15,STAB2
ENSG00000136059.14,VILL
ENSG00000136108.15,CKAP2
ENSG00000136114.17,THSD1
ENSG00000136149.6,RPL13AP25
ENSG00000136160.17,EDNRB
ENSG00000136213.10,CHST12
ENSG00000136492.9,BRIP1
ENSG00000136518.17,ACTL6A
ENSG00000136522.14,MRPL47
ENSG00000136546.16,SCN7A
ENSG00000136630.13,HLX
ENSG00000136732.16,GYPC
ENSG00000136826.15,KLF4
ENSG00000136878.14,USP20
ENSG00000136883.14,KIF12
ENSG00000136982.6,DSCC1
ENSG00000136986.10,DERL1
ENSG00000136999.5,CCN3
ENSG00000137033.11,IL33
ENSG00000137070.18,IL11RA
ENSG00000137077.8,CCL21
ENSG00000137103.20,TMEM8B
ENSG00000137168.8,PPIL1
ENSG00000137225.13,CAPN11
ENSG00000137507.11,LRRC32
ENSG00000137547.9,MRPL15
ENSG00000137807.16,KIF23
ENSG00000137812.20,KNL1
ENSG00000137877.10,SPTBN5
ENSG00000137960.6,GIPC2
ENSG00000138018.18,SELENOI
ENSG00000138071.14,ACTR2
ENSG00000138092.11,CENPO
ENSG00000138135.7,CH25H
ENSG00000138160.7,KIF11
ENSG00000138180.16,CEP55
ENSG00000138207.14,RBP4
ENSG00000138303.18,ASCC1
ENSG00000138606.19,SHF
ENSG00000138722.10,MMRN1
ENSG00000138778.13,CENPE
ENSG00000138834.14,MAPK8IP3
ENSG00000139190.17,VAMP1
ENSG00000139354.11,GAS2L3
ENSG00000139549.4,DHH
ENSG00000139567.13,ACVRL1
ENSG00000139597.18,N4BP2L1
ENSG00000139618.16,BRCA2
ENSG00000139631.19,CSAD
ENSG00000139679.15,LPAR6
ENSG00000139734.19,DIAPH3
ENSG00000139874.6,SSTR1
ENSG00000140044.13,JDP2
ENSG00000140104.14,CLBA1
ENSG00000140398.14,NEIL1
ENSG00000140400.17,MAN2C1
ENSG00000140525.19,FANCI
ENSG00000140534.14,TICRR
ENSG00000140543.15,DET1
ENSG00000141076.18,UTP4
ENSG00000141258.13,SGSM2
ENSG00000141295.14,SCRN2
